layer_name,layer_idx,sublayer,q,safety,theta,CCR,QZR_nonzero,cosine_sim
bert.encoder.layer.2.attention.self.value,2,V,0.9,1.2,0.00013368868385441602,0.07870338045663175,0.13371424991771036,0.9965471726020954
bert.encoder.layer.2.attention.self.value,2,V,0.95,1.0,0.00019202650582883507,0.05000312358749536,0.13772870104603768,0.9978351930928293
bert.encoder.layer.2.attention.self.value,2,V,0.95,1.1,0.0002112291564117186,0.04440271494875479,0.13854698240464686,0.9980918555212165
bert.encoder.layer.2.attention.self.value,2,V,0.95,1.2,0.00023043180699460207,0.04010686344042951,0.1392174484057677,0.9983008602727443
bert.encoder.layer.2.attention.self.value,2,V,0.99,1.0,0.0006772370543330908,0.010002829602789915,0.14347835097145079,0.999453601863863
bert.encoder.layer.2.attention.self.value,2,V,0.99,1.1,0.0007449607597663999,0.008051506120394087,0.14360022734625932,0.9994742726634647
bert.encoder.layer.2.attention.self.value,2,V,0.99,1.2,0.0008126844651997089,0.006438265049260812,0.14368536998743334,0.9994878235209813
bert.encoder.layer.2.attention.self.value,2,V,0.995,1.0,0.0008921003900468349,0.005001414801394957,0.14375383244162676,0.9994980440830066
bert.encoder.layer.2.attention.self.value,2,V,0.995,1.1,0.0009813104290515185,0.003660109582798955,0.1438046481575573,0.9995063124028473
bert.encoder.layer.2.attention.self.value,2,V,0.995,1.2,0.0010705204680562018,0.0026568867754655063,0.1438371424632903,0.9995109059138698
bert.encoder.layer.2.attention.self.value,2,V,0.999,1.0,0.0013619976816698909,0.0010032228073334484,0.14388535997453625,0.9995179110181793
bert.encoder.layer.2.attention.self.value,2,V,0.999,1.1,0.0014981974498368801,0.0006210426902540395,0.1438940589360769,0.999519289071486
bert.encoder.layer.2.attention.self.value,2,V,0.999,1.2,0.001634397218003869,0.00040055416116976516,0.1438987433603609,0.999520092935915
bert.encoder.layer.3.attention.self.key,3,K,0.9,1.0,7.522026135120541e-05,0.10000257236617265,0.13621838332402755,0.9966901456326734
bert.encoder.layer.3.attention.self.key,3,K,0.9,1.1,8.274228748632595e-05,0.08810354141325798,0.1375353860046714,0.9971436400083785
bert.encoder.layer.3.attention.self.key,3,K,0.9,1.2,9.026431362144648e-05,0.07858578657445346,0.1386315365022183,0.9975031970836717
bert.encoder.layer.3.attention.self.key,3,K,0.95,1.0,0.00012446909386198968,0.05000312358749536,0.14187923015415302,0.9984570396475123
bert.encoder.layer.3.attention.self.key,3,K,0.95,1.1,0.00013691600324818867,0.043127556288884074,0.1426330492411034,0.9986492780838077
bert.encoder.layer.3.attention.self.key,3,K,0.95,1.2,0.0001493629126343876,0.037560220929506144,0.14324162246580602,0.9987966149498573
bert.encoder.layer.3.attention.self.key,3,K,0.99,1.0,0.00029090087627992034,0.010002829602789915,0.14593563056511338,0.9993360079816848
bert.encoder.layer.3.attention.self.key,3,K,0.99,1.1,0.0003199909639079124,0.007904513767671238,0.1461057244511679,0.9993628800211669
bert.encoder.layer.3.attention.self.key,3,K,0.99,1.2,0.0003490810515359044,0.006357419255263245,0.14623271589192086,0.999381598578584
bert.encoder.layer.3.attention.self.key,3,K,0.995,1.0,0.0003820985439233482,0.005001414801394957,0.14633773982308465,0.9993962978138562
bert.encoder.layer.3.attention.self.key,3,K,0.995,1.1,0.00042030839831568305,0.003740955376796522,0.1464234375135099,0.9994076667536371
bert.encoder.layer.3.attention.self.key,3,K,0.995,1.2,0.0004585182527080178,0.00281490355464257,0.14648283735320497,0.9994154757223755
bert.encoder.layer.3.attention.self.key,3,K,0.999,1.0,0.0006240793154574931,0.0010032228073334484,0.14659548842666567,0.9994300601198722
bert.encoder.layer.3.attention.self.key,3,K,0.999,1.1,0.0006864872470032425,0.0007129129107058206,0.14661249877225258,0.9994323568753836
bert.encoder.layer.3.attention.self.key,3,K,0.999,1.2,0.0007488951785489916,0.0005254976609841873,0.1466230877721918,0.9994335052531392
bert.encoder.layer.3.attention.output.dense,3,O,0.9,1.0,0.00023956848599482328,0.10000257236617265,0.03702442299290162,0.9962948740091797
bert.encoder.layer.3.attention.output.dense,3,O,0.9,1.1,0.0002635253345943056,0.08798594753107969,0.03734661721375353,0.9966505266001037
